id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,word_tokens_core,extended
T001,Blan_route_retell_DP_25Feb12,DP,62,approximate,m,2012-02-25,certain,personal narrative,na,break/gloss,English,medium,punctual,780,780,no
T002,NarrLandscape1,CP,58,approximate,m,2002-11-16,certain,personal narrative,na,none,English,medium,punctual,653,653,no
T003,NarrLandscape2,CP,58,approximate,m,2002-11-16,certain,personal narrative,na,none,English,medium,punctual,2411,2411,no
T007,NarrMem10,CP,55,approximate,m,2000,approximate,personal narrative,na,break/gloss,English,medium,constant,1437,1437,no
T004,NarrMem4,DP,55,approximate,m,2005-07-09,certain,personal narrative,na,break/gloss,English,medium,constant,388,388,no
T005,NarrMem7,CP,55,approximate,m,2000,approximate,personal narrative,na,break/gloss,English,medium,constant,309,309,no
T006,NarrMem9,CP,55,approximate,m,2000,approximate,personal narrative,na,break/gloss,English,medium,constant,374,374,no
T008,NarrTrad1,CW,62,approximate,f,2007-03-29,certain,traditional narrative,na,break/gloss,English,medium,constant,1197,652,no
T009,PoisonMyth,CP,62,approximate,m,2006-03-17,certain,traditional narrative,na,break/gloss,English,bad,constant,538,500,no
