File,Original_Tier_Name,New_Tier_Name
Blan_route_retell_DP_25Feb12.eaf,orth-DP,tx@DP
Blan_route_retell_DP_25Feb12.eaf,transl-DP,ft@DP
Blan_route_retell_DP_25Feb12.eaf,orth_tok,wd@DP
Blan_route_retell_DP_25Feb12.eaf,orth_morph,mb@DP
Blan_route_retell_DP_25Feb12.eaf,gloss_morph,gl@DP
NarrLandscape1.eaf,orth-CP,tx@CP
NarrLandscape1.eaf,transl-CP,ft@CP
NarrLandscape2.eaf,orth-CP,tx@CP
NarrLandscape2.eaf,transl-CP,ft@CP
NarrMem10.eaf,orth-CP,tx@CP
NarrMem10.eaf,transl-CP,ft@CP
NarrMem10.eaf,orth_tok,wd@CP
NarrMem10.eaf,orth_morph,mb@CP
NarrMem10.eaf,gloss_morph,gl@CP
NarrMem4.eaf,orth-DP,tx@DP
NarrMem4.eaf,transl-DP,ft@DP
NarrMem4.eaf,orth_tok,wd@DP
NarrMem4.eaf,orth_morph,mb@DP
NarrMem4.eaf,gloss_morph,gl@DP
NarrMem7.eaf,orth-CP,tx@CP
NarrMem7.eaf,transl-CP,ft@CP
NarrMem7.eaf,orth_tok,wd@CP
NarrMem7.eaf,orth_morph,mb@CP
NarrMem7.eaf,gloss_morph,gl@CP
NarrMem9.eaf,orth-CP,tx@CP
NarrMem9.eaf,transl-CP,ft@CP
NarrMem9.eaf,orth_tok,wd@CP
NarrMem9.eaf,orth_morph,mb@CP
NarrMem9.eaf,gloss_morph,gl@CP
NarrTrad1.eaf,orth-CP,tx@CP
NarrTrad1.eaf,transl-CP,ft@CP
NarrTrad1.eaf,orth-CW,tx@CW
NarrTrad1.eaf,transl-CW,ft@CW
NarrTrad1.eaf,orth-CW_tok,wd@CW
NarrTrad1.eaf,orth-CW_morph,mb@CW
NarrTrad1.eaf,gloss-CW_morph,gl@CW
NarrTrad1.eaf,orth-CP_tok,wd@CP
NarrTrad1.eaf,orth-CP_morph,mb@CP
NarrTrad1.eaf,gloss-CP_morph,gl@CP
PoisonMyth.eaf,orth-CP,tx@CP
PoisonMyth.eaf,transl-CP,ft@CP
PoisonMyth.eaf,orth-SU,tx@SU
PoisonMyth.eaf,transl-SU,ft@SU
PoisonMyth.eaf,orth-CP_tok,wd@CP
PoisonMyth.eaf,orth-CP_morph,mb@CP
PoisonMyth.eaf,gloss-CP_morph,gl@CP
PoisonMyth.eaf,orth-SU_tok,wd@SU
PoisonMyth.eaf,orth-SU_morph,mb@SU
PoisonMyth.eaf,gloss-SU_morph,gl@SU
